post_id	mechanic	areas	solution_chain	difficulty	repeatability
452	Название группы = фамилии игроков	Музыка + футбол	Группа из саундтрека FIFA 07 → фамилии Робби и Роя Кина → Keane	4	Высокая
454	Общий рекламный носитель	Музыка + футбол + маркетинг	Исполнители после 2022 года → логотипы на форме клуба → игровые футболки «Барселоны»	5	Средняя
467	Общий образ в фильмографии	Кино + стрельба из лука	Актёры играли персонажей-лучников → общий олимпийский вид спорта → стрельба из лука	4	Высокая
468	Шифр + совпадение фамилии	Литература + NBA + криптография	Зашифрованный персонаж → Шерлок Холмс → баскетболист с фамилией Холмс	5	Средняя
469	Визуальный ребус из логотипов и счёта	MLB + кино	Упрощённые C и P плюс счёт 3:0 → запись C-3PO → персонаж «Звёздных войн»	6	Высокая
473	Общее имя знаменитостей	NBA + NFL + музыка	Ламар Одом, Ламар Джексон и Кендрик Ламар → общее имя Ламар	5	Высокая
474	Исторический трофей как бытовой предмет	Крикет + история	Некролог английскому крикету → серия The Ashes → трофей-урна	5	Средняя
505	Каламбур в заголовке	Биатлон + язык + спортивные медиа	Шаблон «картина маслом» → фамилия призёра → «Скардино маслом»	6	Высокая
507	Общий медийный автор	Спорт + YouTube + массовая культура	Спортсмены появились в проектах одного блогера → настоящее имя Джеймс Дональдсон → MrBeast	4	Средняя
508	Многозначное слово	Спорт + архитектура + язык	Имена спортсменов встречаются в ордерах → архитектурные ордера → слово «ордер»	6	Средняя
509	Многозначная аббревиатура	Спортивные медиа + цифровая культура	Трёхбуквенная аббревиатура из другого типа файлов → международное медиа с африканской редакцией → BBC	6	Низкая
511	Перевод слова + фамилия игрока	Футбол + французский язык + история	Романтический «рыцарь» → французское chevalier → фамилия партнёра и степень ордена	5	Высокая
512	Этимология спортивного медиа	Американский спорт + медиа + язык	Выцветшие скамейки и зрители → bleachers → Bleacher Report	5	Высокая
514	Биографический факт + историческое прозвище	Футбол + история России	Связь Дзюбы с Тушино → прозвище Лжедмитрия II → «Тушинский вор»	5	Средняя
516	Вычитание из статистического списка	Американский футбол + телевидение	100 крупнейших эфиров минус 94 матча NFL → три оставшиеся трансляции → NCAA	4	Средняя
517	Родственная спортивная преемственность	Волейбол + биография	Белгородские клубы и отчества → Сергей и Павел Тетюхины → общая фамилия	3	Высокая
518	Рекламный персонаж через издателя	Футбол + видеоигры + маркетинг	Спонсор Manchester City Eidos → героиня бренда на промофото → Лара Крофт	5	Низкая
519	Контекстная шутка о названии клуба	Футбол + история США + стендап	Chicago Fire и трагедия 1871 года → перенос логики на Нью-Йорк → Jets	6	Низкая
520	Каламбур имени и сервиса	Футбол + социальные медиа	Софья и сервис SofaScore → слитный никнейм → Sofascore	3	Высокая
521	Восстановление эпизода по тексту песни	Рэп + футбол	Строчка о голе со стандарта и адресате Кану → поиск реального матча → фамилия автора гола	7	Низкая
524	Скрытое слово при кадрировании	Фигурное катание + фотография + язык	Обрезанное название турнира → остаются шесть букв со вторым смыслом → «пофигу»	4	Высокая
527	Буквенная трансформация имени	Хоррор + снукер + язык	Фамилия монстра → добавление гласной и знака → прозвище О’Салливана → снукер	6	Средняя
535	Совпадение фамилии	Спортивные медиа + футбол	Экс-комментатор НТВ-Плюс и футболист «Комо» → общая фамилия Батурин/Батурина	6	Высокая
542	Двойное значение фразы	Теннис + иконопись + история	Победа Рублева над Федерером → спортивное «вынес» + фамилия иконописца → «вынес икону»	6	Высокая
544	Демоним как часть имени	Иконопись + футбол + география	Феофан из Византии → прозвище Грек → чемпионы Европы-греки	4	Высокая
545	Омоним исторического явления и фамилии	История + спортивные медиа	Бедствие при осаде города → мор → эксперт с фамилией Мор	4	Высокая
551	Классификация по цвету	Спорт + комиксы + анимация	Составы из спортсменов и персонажей → общий цвет костюмов → оранжевый, красный, фиолетовый	4	Высокая
552	Имя + смысл фамилии	Футбол + автоспорт + язык	Лишний вес Фелипе Кайседо → «масса» как вес → Фелипе Масса	4	Высокая
553	Общее спортивное прозвище	Автоспорт + шахматы + футбол + хоккей	Разных спортсменов и тренера называли одинаково → оборонительная роль → «министр обороны»	5	Высокая
555	Название фильма = прозвище	Кино + футбол	Фильм Де Пальмы «Лицо со шрамом» → прозвище Франка Рибери → три слова	4	Высокая
561	Историческое событие + визуальная подсказка	Шахматы + технологии + филателия	Марка к юбилею победы над Каспаровым → компьютер на изображении → Deep Blue	5	Средняя
567	Неожиданная ставка на событие	Баскетбол + политика + букмекеры	Список публичных фигур и коэффициенты → общее возможное действие → выдвижение в президенты	5	Низкая
568	Одинаковое название устройства и медиа	Настольный футбол + спортивные медиа + история	Запатентованное устройство с фигурками → kicker → немецкий журнал Kicker	6	Средняя
569	Непристойный межъязыковой каламбур	Футбол + английский язык + медиа	Заголовок Old Lady unable to master … → название БАТЭ образует двусмысленную фразу	7	Низкая
570	Совпадение фамилии	Лёгкая атлетика + интеллектуальные игры + журналистика	Спортсменка, медийная героиня и журналист → общая фамилия Лысенко	6	Высокая
571	Фамилия после брака	Олимпийский спорт + спортивные медиа + биография	Победы Марии до замужества → олимпийское золото при комментарии мужа → актуальная фамилия	7	Средняя
572	Числовой словесный ребус	Музыка + спортивные медиа + язык	50 Cent и 21 Questions → 50 участников/вопросов конкурса → ИКС равен «вопрос»	5	Средняя
587	Цитата + фамилия игрока	Литература + NBA	Строка Шекспира «колпак мозгов не портит» → Тимофей Мозгов и чемпионство Cleveland	5	Высокая
588	Имя как праздничный символ	Футбол + гастрономия + календарь	Гол Оливье Жиру 1 января → русское «оливье» как новогоднее блюдо	3	Высокая
589	Перевод имени персонажа	Футбол + анимация + язык	Gascoigne по-английски → Гасконец в «Псе в сапогах» → одно имя в двух языках	4	Высокая
594	Прозвище по внешности	Футбол + анимация	Статуэтка Шрека принята за Хотэя → прозвище Уэйна Руни → «Шрек»	4	Высокая
601	Фраза как название песни и команды	Музыка + футбольная тактика + медиафутбол	Два глагола описывают примитивную тактику → песня и команда → «Бей-беги»	4	Высокая
604	Термин через единицы измерения	Баскетбол + антропометрия + английский язык	2700 людей и 33 игрока NBA → рост не менее семи футов → семифутеры	5	Средняя
607	Мифологический омоним фамилии	Мифология + фигурное катание + медиа	Славянский дух навка → Татьяна Навка → биографическая подсказка через мужа	5	Высокая
611	Маршрут между городами команд	Баскетбол + география + поп-культура	Пары клубов задают города и номера шоссе → маршрут Газоля → Route 66	7	Средняя
613	Совпадение фамилии без родства	Лёгкая атлетика + блогинг	Блогер с той же фамилией не является сыном олимпийской чемпионки → Татьяна Лебедева	4	Высокая
617	Общее имя внутри топонима	Автоспорт + география	Себастьян Лёб и Себастьян Феттель → общее имя → Сан-Себастьян	5	Высокая
618	Классификация числовых последовательностей	Олимпийские игры + календарь	Ряды олимпийских годов → разные циклы до реформы → летние и зимние Игры	3	Высокая
620	Общий год в спортивном списке	Футбол + музыка	Перечень клубов → их достижения в одном году → название трека «2021»	5	Средняя
623	Вымышленная статистика как реальная	Анимация + автоспорт	Победители с именами героев «Тачек» → рекордсмен Молния Маккуин → Кубок Поршня	4	Средняя
624	Буквенная операция с фамилией	Кино + снукер + язык	Shelby → удалить h / Шелби → заменить Ш на С → Марк Селби	5	Высокая
625	Библейская парность имён	NBA + религия	Гипотетический Эйбел/Авель рядом с игроком Orlando → братская пара → Каин	5	Высокая
628	Визуальный символ на деньгах	Баскетбол + религия + нумизматика	Святой на куртке → образ всадника на монетах 1, 5, 10 и 50 → Георгий Победоносец	4	Высокая
664	Многозначная фраза	Футбол + путешествия + медиа	Личная история Слуцкого и маршруты россиян после 2022 года → «пересадка в Турции»	5	Высокая
669	Идентификация автора цитаты	Футбол + спортивные медиа	Оценка молодого игрока и шутка о фамилии → стиль и биография эксперта → Андрей Аршавин	6	Средняя
682	Визуальная метафора силуэта	Олимпийские игры + дизайн + география	Контур города на постере и скрытые горы → форма олимпийского факела	5	Низкая
684	Многозначность + словообразование	Иконопись + спорт + язык	Обратная перспектива → перспективный спортсмен → перспектив с возрастом меньше	5	Высокая
716	Алфавитная закономерность в разных языках	География + футбол + язык	Пары стран задают крайние позиции в национальных алфавитах → применение к участникам ЧМ-2026	7	Высокая
717	Географический омоним	Футбол + география	Название европейской страны совпадает со штатом и появляется в месте проведения матчей → Georgia	4	Высокая
718	Перевод слова + прозвище тренера	Видеоигры + футбол + испанский язык	Игра LocoRoco → испанское loco «сумасшедший» → прозвище Эль Локо → Марсело Бьельса	5	Высокая
719	Этимология имени + турнирный мем	Футбол + греческий язык + спортивные медиа	Имя со значением «бессмертный» → повторяющийся образ ЧМ-2026 → статья спортивного медиа	7	Средняя
