postId;date;question;answer;answerSourceCommentId;answerSourceUrl;answerReactionActor;answerSourceType;answerSourceNote;manualCatalogId;postUrl;mediaPath;caption;ocrConfidence;reviewStatus
145;2025-07-01;Один ОН объединяет Зелимхана Бакаева, Федора Смолова и Элдора Шомуродова. Другой ОН ассоциируется с джипом. Третий ОН комментировал команды, к которым имеет отношение второй ОН, сразу в двух дисциплинах. Назовите ЕГО.;;;;;;;;https://t.me/simple_quiz/145;telegram_archive/media/post_0145_photo_01.jpg;Вопрос, на который не ответил спортивный директор «Амкала» (и выписал сам себе за это штраф)! Напоминаем, что в комментариях мы пишем версии ответов на вопрос под спойлером – давайте не будем ломать кайфы от отгадывания друг другу! @simple_quiz;0.951;Распознано — проверить ответ
157;2025-07-11;Этот оскорбительный термин применительно к девушкам регулярно вспоминают в русскоязычном твиттере. В одном из олимпийских видов спорта так можно безоценочно назвать его представительниц. Среди олимпийских чемпионок в этом виде спорта в 21 веке - чилийка Франсиска Кроветто, американки Эмбер Инглиш и Ким Роуд, итальянки Диана Бакози и Кьяра Кайнеро, венгерка Диана Игали. Наверное, несправедливо, что некоторым из вас официанты принесли подсказку. Назовите этот термин.;Тарелочница;364;https://t.me/simple_quiz/157?comment=364;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/157;telegram_archive/media/post_0157_photo_01.jpg;Доброе утро! Мы вам тут вопрос принесли с утра пораньше. @simple_quiz;0.9494;Ответ подтверждён реакцией канала
178;2025-07-25;Валентин Серов посвятил краже ИКС не одно полотно: говорят, он написал шесть вариантов картины. Карло Анчелотти вызвал 25 футболистов на первые для него у руля матчи сборной Бразилии. Четыре из них никогда не играли в ИКС. Несмотря на то, что технически вы в ИКС прямо сейчас, некоторые из вас могут похвастаться, что были в ИКС. Назовите ИКС.;Европа;423;https://t.me/simple_quiz/178?comment=423;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/178;telegram_archive/media/post_0178_photo_01.jpg;В последнем «Симпл Квизе» у нас был целый раунд про искусство и картины. Те, кто был на игре, расскажите – понравилось? Повторяем такой раунд? @simple_quiz;0.9628;Ответ подтверждён реакцией канала
180;2025-07-27;В конце 15 века итальянский художник написал картину, на которой было изображено первое событие в жизни АЛЬФЫ. Картина была написана по заказу представителя семьи Медичи. Полотно до сих пор хранится в галерее Уффици. 17 июня 1980 года произошло первое событие в жизни другой АЛЬФЫ. Напишите в ответе название картины.;«Рождение Венеры»;451;https://t.me/simple_quiz/180?comment=451;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/180;telegram_archive/media/post_0180_photo_01.jpg;По скромному мнению нашей редакции – один из самых изящных вопросов минувшей игры. @simple_quiz;0.9617;Ответ подтверждён реакцией канала
181;2025-07-28;В английском языке это слово означает близкого друга, братишку. Если это же слово написать кириллицей, получится некое действие во множественном числе, свидетелем которого можно стать, например, в петанке, дартсе и водном поло. Напишите это слово кириллицей.;Броски;459;https://t.me/simple_quiz/181?comment=459;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/181;telegram_archive/media/post_0181_photo_01.jpg;Этот вопрос вызвал большие сложности у команд, которые боролись за призы. Напоминаем, что мы пишем версии в комментах под спойлером, чтобы не ломать кайф другим отгадывающим. @simple_quiz;0.9583;Ответ подтверждён реакцией канала
187;2025-07-29;У группы Oasis и рэпера Big Baby Tape есть треки с одинаковым названием. Увидев название этих треков, в голову сразу приходит важный для истории НБА город. О каком городе речь?;Сиэтл;485;https://t.me/simple_quiz/187?comment=485;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/187;telegram_archive/media/post_0187_photo_01.jpg;Кстати, о музыке. Есть команды, которые взяли на последнем квизе? Были споры о том, кстати, насколько правильный ответ – действительно важный для истории НБА город. @simple_quiz;0.9603;Ответ подтверждён реакцией канала
206;2025-08-16;Российского предпринимателя из Троицка, который открыл бизнес в Сыктывкаре, и линию обороны футбольного клуба «Рома» с 2012 по 2014. год, объединяют два повторяющихся слога. Напишите эти два одинаковых слога.;Додо;535;https://t.me/simple_quiz/206?comment=535;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/206;telegram_archive/media/post_0206_photo_01.jpg;Так, закидываем вопросы с последнего квизочка. Эксперты по сыктывкарским бизнесменам на месте? @simple_quiz;0.954;Ответ подтверждён реакцией канала
207;2025-08-17;Вот список 12 апостолов: Петр, Андрей, Иаков Зеведеев, Иоанн, Варфоломей, Фома, Матфей, Иаков Алфеев, Иуда Фаддей, Симон Кананит, Иуда Искариот и ИКС. ИКС — фамилия футболиста, который отыграл 27 матчей за московское «Динамо» в РПЛ. Назовите ИКС.;;;;;;;;https://t.me/simple_quiz/207;telegram_archive/media/post_0207_photo_01.jpg;Сегодня – дерби между ЦСКА и «Динамо». Как насчет вопроса про один из московских клубов? Кто из тех, кто не был на последнем квизе, помнит эту легенду (или шарит за библейских апостолов)? @simple_quiz;0.9308;Распознано — проверить ответ
213;2025-08-21;В 2019 году в сторисах Sports.ru провели небольшой квиз из трех картинок. На первой была показана картина «Впечатление». Вопрос на картинке был следующим: «Это шедевр ИКСА?» Правильный ответ, конечно, — «Нет». На второй тот же вопрос с тем же ответом дали рядом с картиной «Олимпия». На третьей была фотография из матча «Ливерпуль» - «Бавария». Вопрос на картинке совпадал: «Это шедевр ИКСА?» Правильный ответ - «Да!» В ЛЧ-2018/19 ИКС забил 4 гола. Назовите ИКС двумя словами.;Садио Мане;553;https://t.me/simple_quiz/213?comment=553;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/213;telegram_archive/media/post_0213_photo_01.jpg;Есть те, кто шарит за шедевры? @simple_quiz;0.9468;Ответ подтверждён реакцией канала
238;2025-08-29;Аксель Крюгер, признанный лучшим игроком «Брюне» в одном из весенних матчей чемпионата Норвегии-2025, в качестве приза получил ИКС. ИКС является важнейшим символом одного из главных религиозных праздников христиан, а английским названием близкого родственника ИКСА можно назвать Майкла Фелпса, Усейна Болта, Тони Хоука и Александра Костылева. Назовите ИКС.;;;;;;;;https://t.me/simple_quiz/238;telegram_archive/media/post_0238_photo_01.jpg;Вопрос, из-за которого «Симпл Квиз» возненавидела половина команд, пришедших к нам в понедельник. @simple_quiz;0.9538;Распознано — проверить ответ
251;2025-09-03;В треке Carefree, вышедшем в 2021 году, рэпер Songer занеймдроппил очень много футболистов. В одной из строчек он говорит, что у «Манчестер Сити» есть Рахим Стерлинг, но нет страйкера, поэтому клуб из Манчестера хочет ЕГО. За кем, по мнению Songer, охотился «Сити»?;Эрлинг Холанд;645;https://t.me/simple_quiz/251?comment=645;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/251;telegram_archive/media/post_0251_photo_01.jpg;Эксперты по рэпу, вы тут? @simple_quiz;0.956;Ответ подтверждён реакцией канала
261;2025-09-05;По состоянию на 2025 год Израиль, Кипр и Армения - единственные члены УЕФА, у которых нет ЭТОГО. О чем речь?;Нахождение на территории Европы;669;https://t.me/simple_quiz/261?comment=669;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/261;telegram_archive/media/post_0261_photo_01.jpg;Лишь одна команда со вчерашней игры справилась с этим вопросом. Напоминаем, что если вы хотите написать версию в комменты, то мы настоятельно просим прятать ее под спойлер. Вот так @simple_quiz;0.9191;Ответ подтверждён реакцией канала
262;2025-09-05;В сезоне-2025/26 в АПЛ их 7, в Чемпионшипе — 3, в английской Лиге 1 - 2, ав Лиге 2-1. О чем речь?;Клубы из Лондона;667;https://t.me/simple_quiz/262?comment=667;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/262;telegram_archive/media/post_0262_photo_01.jpg;Пока вы ломаете голову над предыдущим вопросом, вот вам следующий От создателя вопроса про количество лап на эмблеме (олды шарят) @simple_quiz;0.8598;Ответ подтверждён реакцией канала
263;2025-09-05;829 7” Sf о® Этот футболист провел всего год в «Дженоз», а потом укатил в Англию и следующие 8 лет играл исключительно в английских клубах. По окончании карьеры он тренировал клубы из восьми разных стран (и, в частности, работал в двух командах РПЛ). Аниме, в названии которого аж дважды содержится имя этого футболиста, прямо сейчас можно посмотреть в «Амедиатеке», а первые серии второго сезона летом показывали в московских кинотеатрах. Назовите этого футболиста. т WIN BOX od;Дан Петреску;673;https://t.me/simple_quiz/263?comment=673;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/263;telegram_archive/media/post_0263_photo_01.jpg;Анимешники тут? У нас опять вопрос про японские мультики (и немного про футбол) @simple_quiz;0.9124;Ответ подтверждён реакцией канала
264;2025-09-05;9 2? Sf o° P Если записать названия клубов Ла Лиги с помощью элементов периодической таблицы, это получится с «Осасуной» (Os, As, Ц, Ма), «Бетисом» (Re, Al, Be, Ti, $) иеще одним клубом. В 2020 году этот клуб на один матч убрал из своего названия 4 буквы, оставив лишь Te, что с испанского переводятся как «вера», а в периодической таблице находятся на 26-м месте. Назовите этот клуб. — WIN вох ool;Хетафе;681;https://t.me/simple_quiz/264?comment=681;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/264;telegram_archive/media/post_0264_photo_01.jpg;Вопрос от Уолтера Уайта из штата Альбукерке @simple_quiz;0.9046;Ответ подтверждён реакцией канала
265;2025-09-05;9 2? ve Va A о® АЛЬФА - вещь, которую видел или даже держал в руках каждый из вас. Один килограмм вяленых АЛЬФ можно найти на маркетплейсах за 3500 рублей, в то же время мешок АЛЬФ оценивают всего в 500 рублей. АЛЬФУ можно найти и на эмблеме одного из клубов Бундеслиги. Понять, какая именно АЛЬФА на эмблеме, просто: небольшой размер, округлая форма и направление вверх. Назовите АЛЬФУ. ее cnunmnn WIN BOX ool;Кедровая шишка;688;https://t.me/simple_quiz/265?comment=688;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/265;telegram_archive/media/post_0265_photo_01.jpg;Ну и давайте ластецкий Обиднее всего за команду, которая написала в ответе не АЛЬФУ, а клуб, у которой АЛЬФА на эмблеме Не повторяйте ее ошибок @simple_quiz;0.8695;Ответ подтверждён реакцией канала
285;2025-09-22;Надпись на футболке этого футболиста в зависимости от эпохи и культурного контекста может означать как устройство для воспроизведения видео, так и последовательность чисел 5, 1, 500, 1, 100. Назовите этого футболиста.;Неманья Видич;737;https://t.me/simple_quiz/285?comment=737;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/285;telegram_archive/media/post_0285_photo_01.jpg;Ку-ку;0.9583;Ответ подтверждён реакцией канала
286;2025-09-22;Футбольный тренер Антон Михашенок в подкасте Cappucino & Catenaccio объяснил, что с середины 2000-х по середину 2010-х скауты отдавали футболистам с определенной особенностью большее предпочтение, чем другим. «Это называется bias - скаутам при просмотре матча проще отличать игрока по какому-то признаку, и если они ориентировались только на свои глаза, то выделяли определенных футболистов», — уточнил журналист Вадим Лукомский. Михашенок описал этот фактор каламбуром из одного слова и усмехнулся, что в этот период все футболисты начали дословно это делать ТАК. Напишите, что такое ТАК, если это наречие из девяти букв.;;;;;;;;https://t.me/simple_quiz/286;telegram_archive/media/post_0286_photo_01.jpg;Ладно, предыдущий вопрос был прям изи вроде как. Держите посложнее.;0.9522;Распознано — проверить ответ
291;2025-09-24;ОМЕГА - локально культовый российский спортсмен не только благодаря результатам, но и благодаря ассоциации с трехзначным четным числом. Как только ты захотел спеть или сыграть музыкальное произведение с кем-то, ОМЕГА перестает быть ОМЕГОИ. Назовите ОМЕГУ.;Соло 322;760;https://t.me/simple_quiz/291?comment=760;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/291;telegram_archive/media/post_0291_photo_01.jpg;Всем доброго денечка! Еще один вопрос с минувшего «Симпл Квиза»;0.9358;Ответ подтверждён реакцией канала
294;2025-09-26;Песня с названием «ИКС» вышла на альбоме 1999 года. 19 лет спустя та же группа выпустила песню «В ИКСЕ». Поклонники ИКСА поют ее на трибунах намного чаще. Назовите ИКС.;Зенит;772;https://t.me/simple_quiz/294?comment=772;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/294;telegram_archive/media/post_0294_photo_01.jpg;Вопрос для неспящих;0.962;Ответ подтверждён реакцией канала
301;2025-10-03;Из некоторых сокращений команд НХЛ получается слово на английском. Так, сокращение «Питтсбурга» — PIT — переводится как «яма», а сокращение «Сиэтла» - SEA - переводится как «море». Сокращения сразу двух клубов НХЛ в переводе означают транспортные средства. Назовите эти транспортные средства.;Car и van;788;https://t.me/simple_quiz/301?comment=788;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/301;telegram_archive/media/post_0301_photo_01.jpg;НХЛ уважаем?;0.9449;Ответ подтверждён реакцией канала
302;2025-10-04;В стандартной клавиатуре Windows 104 клавиши. Одна из них практически не используется в играх — в том числе и в той серии, название которой иллюстрирует. Например, в версии видеоигры 2021 года этой клавиши не было, а в версии 2025 года она по умолчанию обозначала «Extra Action 1». О какой клавише речь?;F1;791;https://t.me/simple_quiz/302?comment=791;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/302;telegram_archive/media/post_0302_photo_01.jpg;Всем хорошей субботы!;0.9565;Ответ подтверждён реакцией канала
320;2025-10-11;Псевдоним этого инди-исполнителя состоит из трех слов. Последние два описывают процесс, первое — ИКС: мужское имя в уменьшительной форме. Один из его самых популярных треков - «Волна». Также ИКС - разговорный синоним слова «команда». Назовите ИКС.;Тима;821;https://t.me/simple_quiz/320?comment=821;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/320;telegram_archive/media/post_0320_photo_01.jpg;Ходят слухи, что Кир и ИКС учились в одной школе Напоминаем, что версии в комменты мы оставляем под спойлерами @simple_quiz;0.9469;Ответ подтверждён реакцией канала
321;2025-10-12;В 2022 году Василий Уткин говорил, что по утрам он обычно писал тексты, смотрел кино и даже делал зарядку. «Вы, наверное, удивитесь, но у меня дома есть ОНИ. И я ими пользуюсь по назначению», — рассказывал Василий. В отличие отлирического героя группы «Кровосток»: он пользовался ЕЙ не по назначению.;Гантели;825;https://t.me/simple_quiz/321?comment=825;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/321;telegram_archive/media/post_0321_photo_01.jpg;Один из вопросов с последнего квиза. Как известно, ксли ответить самостоятельно не получается, то надо звать Валерика, нужен мозга взрыв @simple_quiz;0.9582;Ответ подтверждён реакцией канала
325;2025-10-15;Если на северо-западе Англии самые известные они - красные, то в Северной Каролине самые известные они - синие. О ком идет речь?;;;;;;;;https://t.me/simple_quiz/325;telegram_archive/media/post_0325_photo_01.jpg;Очередной вопросик вам в ленту. Напоминаем, что версии мы прячем под спойлером Информация об игре в Санкт-Петербурге, которая пройдет 21 октября Информация об игре в Москве, которая пройдет 27 октября @simple_quiz;0.9531;Распознано — проверить ответ
326;2025-10-16;В матчах ЦСКА можно стать свидетелем математического оксюморона. Его можно описать словосочетанием «ИКС ИГРЕКА». ИКС - часть фанатского сленга, а ИГРЕК - прозвище одного из футболистов ЦСКА. Назовите словосочетание, которое мы загадали.;Угол круга;843;https://t.me/simple_quiz/326?comment=843;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/326;telegram_archive/media/post_0326_photo_01.jpg;Вспоминаем уроки алгебры и геометрии @simple_quiz;0.9452;Ответ подтверждён реакцией канала
327;2025-10-18;Все мы подписываемся на блогеров или медиа в надежде получить кое-что качественное. ЭТОТ ИГРОК отличается от кое-чего наличием одной гласной буквы. Был ли ОН качественным - = вопрос дискуссионный, но 69 матчей за © 7 «Баварию» и 94 - за «Бордо» он провел О каком игроке идет речь? = i;Контенто;847;https://t.me/simple_quiz/327?comment=847;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/327;telegram_archive/media/post_0327_photo_01.jpg;Кто вспомнит легенду? @simple_quiz;0.8689;Ответ подтверждён реакцией канала
330;2025-10-19;ИКС - российский бренд, который существует с 1995 года. Он специализируется на кетчупах, томатных пастах и уксусах. Сходить на ИКС у вас получится в НФЛ и MLB и не получится - в НХЛ, НБА и MLS. Назовите ИКС.;Балтимор;851;https://t.me/simple_quiz/330?comment=851;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/330;telegram_archive/media/post_0330_photo_01.jpg;Возможно, ответ на этот вопрос прямо сейчас находится у вас в холодосе @simple_quiz;0.9414;Ответ подтверждён реакцией канала
345;2025-10-29;Этот испанский клуб назван в честь римского аналога древнегреческого героя. С 1952 года неизменным атрибутом логотипа этой команды является силуэт мужской головы с лавровым венком. В последний раз клуб играл в Ла Лиге в сезоне-2010/1, в предпоследний - в сезоне-1996/97. Назовите этот клуб.;;;;;;;;https://t.me/simple_quiz/345;telegram_archive/media/post_0345_photo_01.jpg;Ух, сколько же команд обнулились в Москве и Санкт-Петербурге на этом вопросе… @simple_quiz;0.9497;Распознано — проверить ответ
349;2025-10-31;ИКС - автор знаменитых полотен «Эдемский сад с грехопадением человека», «Воздвижение креста» и «Венера и Адонис». Другой ИКС провел 19 сезонов в «Формуле-1», одержал Tl побед и 68 раз поднимался на подиум. Назовите ИКС.;;;;;;;;https://t.me/simple_quiz/349;telegram_archive/media/post_0349_photo_01.jpg;Врум-врум! @simple_quiz;0.9524;Распознано — проверить ответ
355;2025-11-02;Когда хоккеиста Максима Афиногенова спросили про АЛЬФЫ, которые летят на лед во время матчей его команды, он ответил, что подобное встречается и в НХЛ, и привел пример с традицией в «Детройте» кидать на лед осьминога. Правда, если осьминог для «Ред Уингс» — победный символ, то АЛЬФА - оскорбление конкретной команды. Про что спросили после матча Макса Афиногенова?;Сосиски;906;https://t.me/simple_quiz/355?comment=906;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/355;telegram_archive/media/post_0355_photo_01.jpg;Знатоки хоккея присутствуют? @simple_quiz;0.9544;Ответ подтверждён реакцией канала
356;2025-11-04;Несколько лет назад в интернете стало вирусным изображение одного ИКСа и Криштиану Роналду. Глядя на него, трудно поверить, что «ОМЕГА» ИКСА случилось позже - примерно через 308 дней после Роналду и через 474. года после «ОМЕГИ ИКСА» Микеланджело. Назовите, что такое ОМЕГА ИКСА.;«Сотворение Адама»;913;https://t.me/simple_quiz/356?comment=913;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/356;telegram_archive/media/post_0356_photo_01.jpg;Один из самых подлых вопросов минувшего «Симпл Квиза». Но среди наших подписчиков же полно фанатов Микеланджело, не так ли? @simple_quiz;0.9554;Ответ подтверждён реакцией канала
367;2025-11-06;Основное время семи матчей ЧМ-2018 закончилось со счетом, который можно записать, используя лишь имя одного из древних богов. Один из этих семи матчей, уверен, смотрел практически каждый из вас. Напишите счет этих матчей, используя лишь имя бога, но столько раз, сколько посчитаете нужным.;1:1;931;https://t.me/simple_quiz/367?comment=931;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/367;telegram_archive/media/post_0367_photo_01.jpg;Теологи вошли в чат @simple_quiz;0.9567;Ответ подтверждён реакцией канала
371;2025-11-10;С середины 2010-х несложно получить ретвит от одного из комментаторов Eurosport: достаточно сфотографировать автомобиль с этим трехзначным номером и отметить одного из комментаторов. Он почти всегда ретвитит фото с подобными номерами. Назовите трехзначное число, о котором мы рассказали в предыдущем абзаце.;147;966;https://t.me/simple_quiz/371?comment=966;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/371;telegram_archive/media/post_0371_photo_01.jpg;Ждем в комментариях два типа людей: 1. Знатоков, которые напишут версию ответа под спойлером 2. Безумцев, которые (как и мы) считают, что союз Сергея Курдюкова и биатлона был прекрасен @simple_quiz;0.9549;Ответ подтверждён реакцией канала
374;2025-11-13;На «Википедии» можно найти свыше 30 различных ИКСОВ: это, например, и город в Калифорнии, и столица острова Тенерифе, и крупнейший город Боливии. Но мы помним другого ИКСА: того, что играл за «Баварию», «Манчестер Сити», «Блэкберн», «Малагу» и «Бетис». А еще - за мексиканский клуб, название которого ну очень ему подходит. Назовите ИКС.;Санта-Крус;976;https://t.me/simple_quiz/374?comment=976;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/374;telegram_archive/media/post_0374_photo_01.jpg;Узнали? Согласны? @simple_quiz;0.9548;Ответ подтверждён реакцией канала
387;2025-11-27;Баскетболист Джей Ти ИКС, выступавший за «Шарлотт», «Кливленд» и «Вашингтон», явно ошибся с видом спорта: ни в одном из сезонов он не набирал больше 4 очков в среднем за игру, да и матчей в плей-офф НБА за 5 сезонов у него ноль. Судя по фамилии, которую мы заменили, ему явно больше подошла бы одна из дисциплин в легкой атлетике: бог, имя которого совпадает с фамилией Джей Ти, плотно с ней ассоциируется. О какой дисциплине речь?;;;;;;;;https://t.me/simple_quiz/387;telegram_archive/media/post_0387_photo_01.jpg;Лучший способ придумать правильную версию про Джей Ти – наклонить голову и посмотреть наискосок наверх (но это неточно) @simple_quiz;0.9611;Распознано — проверить ответ
